
DISTANCE,activity_id,HEARTRATE,SPEED,STEPS_PER_MINUTE,LATITUDE,repetitions,temperature,INSTANT_TORQUE_CRANK,timestamp_epoch,ELEVATION,POWER,STRIDES,wheel_torque,CALORIEBURN,LONGITUDE,CADENCE,heading,STEP_RATE
158.49600219726562,32,0,2.02390456199646,162,0,0,0,0,1364583803221,0,0,162,0,13,0,0,0,0
160.5279998779297,32,0,1.0221328735351562,164,0,0,0,0,1364583805207,0,0,164,0,14,0,0,0,0
162.55999755859375,32,0,1.0170170068740845,166,0,0,0,0,1364583807208,0,0,166,0,14,0,0,0,0
165.60800170898438,32,0,2.034034013748169,169,0,0,0,0,1364583809205,0,0,169,0,14,0,0,0,0
167.63999938964844,32,0,1.0139720439910889,171,0,0,0,0,1364583811201,0,0,171,0,14,0,0,0,0
169.67201232910156,32,0,1.018036127090454,173,0,0,0,0,1364583813198,0,0,173,0,14,0,0,0,0
171.70401000976562,32,0,1.018036127090454,175,0,0,0,0,1364583815195,0,0,175,0,15,0,0,0,0
173.7360076904297,32,0,1.0170170068740845,177,0,0,0,0,1364583817192,0,0,177,0,15,0,0,0,0
175.76800537109375,32,0,1.0170170068740845,179,0,0,0,0,1364583819189,0,0,179,0,15,0,0,0,0
178.81600952148438,32,0,1.9863147735595703,182,0,0,0,0,1364583821210,0,0,182,0,15,0,0,0,0
180.84800720214844,32,0,1.0441932678222656,184,0,0,0,0,1364583823182,0,0,184,0,16,0,0,0,0
182.8800048828125,32,0,0.9892892241477966,186,0,0,0,0,1364583825208,0,0,186,0,16,0,0,0,0
184.91200256347656,32,0,1.0170170068740845,188,0,0,0,0,1364583827176,0,0,188,0,16,0,0,0,0
186.94400024414062,32,0,1.01195228099823,190,0,0,0,0,1364583829178,0,0,190,0,16,0,0,0,0
188.97601318359375,32,0,1.01195228099823,192,0,0,0,0,1364583831177,0,0,192,0,16,0,0,0,0
192.0240020751953,32,0,1.0139720439910889,195,0,0,0,0,1364583833190,0,0,195,0,17,0,0,0,0
194.05599975585938,32,0,1.0079365968704224,197,0,0,0,0,1364583835200,0,0,197,0,17,0,0,0,0
196.0880126953125,32,0,1.0149850845336914,199,0,0,0,0,1364583837204,0,0,199,0,17,0,0,0,0
198.12001037597656,32,0,1.037793755531311,201,0,0,0,0,1364583839183,0,0,201,0,17,0,0,0,0
201.16799926757812,32,0,0.9825919270515442,204,0,0,0,0,1364583841219,0,0,204,0,17,0,0,0,0
203.20001220703125,32,0,1.0170170068740845,206,0,0,0,0,1364583843154,0,0,206,0,18,0,0,0,0
205.2320098876953,32,0,1.024193525314331,208,0,0,0,0,1364583845144,0,0,208,0,18,0,0,0,0
207.26400756835938,32,0,1.0170170068740845,210,0,0,0,0,1364583847148,0,0,210,0,18,0,0,0,0
209.29600524902344,32,0,1.0170170068740845,212,0,0,0,0,1364583849144,0,0,212,0,18,0,0,0,0
212.34400939941406,32,0,1.9941118955612183,215,0,0,0,0,1364583851161,0,0,215,0,18,0,0,0,0
214.37600708007812,32,0,1.0170170068740845,217,0,0,0,0,1364583853138,0,0,217,0,19,0,0,0,0
216.4080047607422,32,0,1.01195228099823,219,0,0,0,0,1364583855140,0,0,219,0,19,0,0,0,0
218.44000244140625,32,0,1.0170170068740845,221,0,0,0,0,1364583857132,0,0,221,0,19,0,0,0,0
220.4720001220703,32,0,1.018036127090454,223,0,0,0,0,1364583859128,0,0,223,0,19,0,0,0,0
